,X,Y
0,51.217037,39.60526
1,61.572815,15.823335
2,43.244377,64.05921
3,84.62839,75.576996
4,45.01202,28.405878
5,2.7642345,44.692863
6,86.9061,90.76945
7,65.76532,87.62114
8,81.78465,71.10741
9,94.82381,58.971706
10,5.072107,81.52147
11,23.225094,90.705925
12,9.586254,4.8753424
13,41.30618,39.61951
14,85.70838,56.75487
15,7.185255,71.25443
16,47.282837,7.6452036
17,12.614823,39.921623
18,77.66918,28.452717
19,84.234955,41.911495
20,3.4606102,48.661545
21,48.330578,65.24465
22,23.58819,49.059425
23,95.11463,61.08901
24,93.95037,57.996536
25,61.620453,42.563858
26,97.23512,3.5748706
27,33.941208,18.526579
28,89.74815,32.147434
29,42.939327,14.961967
30,23.538132,59.50322
31,93.871086,59.995102
32,68.18007,50.25967
33,6.355175,32.054214
34,86.48716,65.67039
35,69.9736,18.725096
36,61.77704,2.492927
37,72.980995,72.064964
38,25.12728,44.69385
39,60.39477,69.91389
40,81.53912,18.729204
41,6.1079903,6.7384224
42,13.06367,37.692036
43,83.50169,70.44891
44,60.81166,9.1477995
45,53.21464,19.511444
46,24.570375,45.50001
47,29.507996,61.327347
48,87.34459,73.442406
49,41.840153,11.804529
50,6.746082,62.695236
51,89.00399,38.793945
52,20.54412,67.41914
53,82.59465,19.98806
54,88.17304,52.599
55,48.858433,16.427416
56,60.775272,3.5244858
57,52.63857,47.766613
58,62.489964,18.048044
59,84.82266,65.12149
60,28.800797,53.435726
61,88.99803,76.53087
62,56.82622,39.126045
63,11.205061,97.825264
64,22.071377,51.308792
65,58.97885,47.26852
66,23.736729,74.93393
67,13.768536,57.68013
68,16.085526,36.630207
69,84.52841,47.220234
70,60.1666,17.985195
71,93.94725,39.0379
72,34.394768,3.5435555
73,59.128654,45.588158
74,59.96243,26.901974
75,60.704193,53.0963
76,7.699474,5.4005556
77,75.42033,56.021767
78,93.569664,28.532385
79,52.23125,58.313637
80,18.543003,73.78044
81,75.46617,43.655235
82,1.700683,66.028885
83,33.112217,23.505066
84,92.2817,98.19757
85,58.382698,23.918139
86,85.55203,94.36546
87,60.92815,20.607643
88,81.8497,48.71615
89,87.27476,81.70087
90,32.064896,72.427925
91,12.219406,69.26834
92,71.85831,43.639095
93,43.6512,76.18836
94,12.320022,91.615295
95,58.81068,43.913944
96,3.2839708,52.376495
97,19.36985,6.207364
98,78.77096,39.110386
99,2.0788786,46.186832
